segmentnr	original	folio	stemmed
BO_TZ14_PHA-018:0	bka' brgyad 'der 'dus kyi gtsho bo'i mngon rtogs che chung bzhugs so //	0	bka brgyad der du kyi gtsho bo mngon rtogs che chung bzhugs so 
BO_TZ14_PHA-018:1	yang bka' brgyad las byang gi skabs su /	0	yang bka brgyad las byang gi skabs su 
BO_TZ14_PHA-018:2	bskyed rdzogs chen mo la gtsho bo'i mngon rtogs rgyas pa bsgom par 'dod na las byang gi	0	skyed rdzogs chen mo la gtsho bo mngon rtogs rgya ba bsgom ba dod na las byang gi 
BO_TZ14_PHA-018:3	/tshhur 'dus hu~m la thim /	0	du hu~m la thim 
BO_TZ14_PHA-018:4	de yongs su gyur pa las khrag 'thung thams cad 'dus pa'i spyi gzugs dpal chen po'i skur gyur pa ni /	0	de yongs su gyur ba las khrag thung thams cad du ba spyi gzugs dpal chen po skur gyur ba ni 
BO_TZ14_PHA-018:5	bdag nyid bcom ldan 'das che mchog he ru ka sku mdog smug nag bskal pa'i me ltar 'bar zhing bzod par dka' ba'i gzi brjid can /	0	bdag nyid joms ldan da che mchog he ru ka sku mdog smug nag bskal ba me ltar bar zhing bzod ba dka ba gzi brjid can 
BO_TZ14_PHA-018:6	dbu nyi shu rtsha gcig gi rtsha zhal smug nag	0	dbu nyi shu rtsha gcig gi rtsha zhal smug nag 
BO_TZ14_PHA-018:7	/lhag ma drug mthing ga	0	ma drug mthing ga 
BO_TZ14_PHA-018:8	/g.yas zhal bdun dkar zhing /	0	zhal bdun dkar zhing 
BO_TZ14_PHA-018:9	g.yon zhal bdun dmar ba /	0	g.yon zhal bdun dmar ba 
BO_TZ14_PHA-018:10	zhal re re la dmar la zlum pa'i spyan gsum gsum dang ldan pa /	1	zhal re re la dmar la zlum ba spyan gsum gsum dang ldan ba 
BO_TZ14_PHA-018:11	rnam par 'gyur ba'i zhal gdangs shing mche ba gtshigs pa /	1	rnam ba gyur ba zhal gdang shing mche ba gtshigs ba 
BO_TZ14_PHA-018:12	glog ltar 'khyugs pa'i ljags 'dril zhing /	1	glog ltar khyugs ba ljags dril zhing 
BO_TZ14_PHA-018:13	rdo rje'i gad mos sa gsum g.yo ba /	1	rdo rje gad mos sa gsum g.yo ba 
BO_TZ14_PHA-018:14	khro gnyer bsdus pa'i shangs nas mi bzad pa'i rlung sgra 'byin pa /	1	khro gnyer sdud ba shangs nas mi bzad ba rlung sgra byin ba 
BO_TZ14_PHA-018:15	rdzi smin sma ra las 'bar ba'i me 'khyog por 'bar ba /	1	rdzi smin sma ra las bar ba me khyog por bar ba 
BO_TZ14_PHA-018:16	sku che zhing yan lag rags pa /	1	sku che zhing yan lag rags ba 
BO_TZ14_PHA-018:17	lang tshho rgyas pa'i 'gyur bag can /	1	lang tshho rgya ba gyur bag can 
BO_TZ14_PHA-018:18	phyag bzhi bcu rtsha gnyis kyi dang po gnyis kyis kun bzang yab yum thugs kar bsnol nas 'dzin pa /	1	phyag bzhi chu rtsha gnyis kyi dang po gnyis kyis kun bzang yab yum thugs kar snol nas dzin ba 
BO_TZ14_PHA-018:19	lhag ma g.yas kyi nyi shu na /	1	lhag ma g.yas kyi nyi shu na 
BO_TZ14_PHA-018:20	rigs lnga / sems dpa' brgyad /	2	rigs lnga sems dpa brgyad 
BO_TZ14_PHA-018:21	khro bo bzhi /	2	khro bo bzhi 
BO_TZ14_PHA-018:22	lha dang / lha min /	2	lha dang lha min 
BO_TZ14_PHA-018:23	mi'i thub pa rnams dang / g.yon gyi nyi shu na yum lnga /	2	mi thub ba rnams dang g.yon gyi nyi shu na yum lnga 
BO_TZ14_PHA-018:24	sems ma brgyad /	2	sems ma brgyad 
BO_TZ14_PHA-018:25	khro mo bzhi /	2	khro mo bzhi 
BO_TZ14_PHA-018:26	byol song dang / yi dwags /	2	byol gro dang yi dwags 
BO_TZ14_PHA-018:27	dmyal ba'i thub pa rnams 'dzin pa /	2	dmyal ba thub ba rnams dzin ba 
BO_TZ14_PHA-018:28	zhabs brgyad g.yas bskum zhing g.yon brkyang ba'i gyad chen po'i stabs kyis lha chen pho mo'i mgo bo dang nu ma nas brdzis pa /	2	zhabs brgyad g.yas skum zhing g.yon rkyong ba gyad chen po stabs kyis lha chen pho mo mgo bo dang nu ma nas brdzis ba 
BO_TZ14_PHA-018:29	sgeg pa sogs mchog tu 'bar ba'i gzi byin rgyas pa /	2	sgeg ba sogs mchog tu bar ba gzi byin rgya ba 
BO_TZ14_PHA-018:30	dbu re re la thod pa skam po lnga lnga rin po che'i rtshe bran can gyi dbu rgyan dang / tshhar gsum thod pa'i phreng ba rgyu rlon la brgyus pa'i do shal can /	3	dbu re re la thod ba skam po lnga lnga rin po che rtshe bran can gyi dbu rgyan dang tshhar gsum thod ba phreng ba rgyu rlon la rgyud ba do shal can 
BO_TZ14_PHA-018:31	zhing chen dang glang po che'i ko bas stod g.yogs shing stag gi pags pa'i sham thabs 'phyang ba /	3	zhing chen dang glang po che ko ba stod g.yogs shing stag gi pags ba sham thabs phyang ba 
BO_TZ14_PHA-018:32	gdug pa'i sbrul rigs lnga dang rus pa'i phyag rgya drug gis brgyan pa /	3	gdug ba sbrul rigs lnga dang rus ba phyag rgya drug gis rgyan ba 
BO_TZ14_PHA-018:33	khrag zhag thal bas byugs shing dpal gyi chas bcu rdzogs pa /	3	khrag zhag thal ba byug shing dpal gyi cha chu rdzogs ba 
BO_TZ14_PHA-018:34	de'i pang du gnam zhal dbyings kyi dbang phyug ma sku mdog mthing nag mthing dkar dmar ba'i dbu dgu	3	de pang du gnam zhal dbyings kyi dbang phyug ma sku mdog mthing nag mthing dkar dmar ba dbu dgu 
BO_TZ14_PHA-018:35	/phyag bco brgyad pa /	3	chos brgyad ba 
BO_TZ14_PHA-018:36	gcer bu skra grol zhing lang tshhos sgeg pa /	3	bcer bu skra grol zhing lang tshhos sgeg ba 
BO_TZ14_PHA-018:37	phyag dang po gnyis kyi g.yas rdo rje dang / g.yon dung khrag 'dzin pas yab la 'khyud pa /	3	phyag dang po gnyis kyi g.yas rdo rje dang g.yon dung khrag dzin ba yab la khyud ba 
BO_TZ14_PHA-018:38	lhag ma g.yas pa brgyad na gnas kyi ma mo brgyad dang / g.yon pa brgyad na yul gyi phra men brgyad bsnams pa /	3	lhag ma g.yas ba brgyad na gnas kyi ma mo brgyad dang g.yon ba brgyad na yul gyi phra men brgyad snom ba 
BO_TZ14_PHA-018:39	khro mo'i rgyan can /	3	khro mo rgyan can 
BO_TZ14_PHA-018:40	zhabs bzhi g.yon bskum pas yab la 'khyud cing /	4	zhabs bzhi g.yon skum ba yab la khyud cing 
BO_TZ14_PHA-018:41	g.yas brkyang ba'i stabs kyis snyoms par 'jug pa /	4	g.yas rkyong ba stabs kyis snyom ba jug ba 
BO_TZ14_PHA-018:42	stong pa nyid dang snying rje dbyer med pa'i bdag nyid can /	4	stong ba nyid dang snying rje dbyer med ba bdag nyid can 
BO_TZ14_PHA-018:43	bzod par dka' ba'i gzi byin nyi ma 'bum gyi 'od zer ltar 'bar zhing bskal pa'i me dpung chen po'i klong na bzhugs pa'o //	4	bzod ba dka ba gzi byin nyi ma bum gyi d zer ltar bar zhing bskal ba me dpung chen po klong na bzhugs ba 
BO_TZ14_PHA-018:44	zhes pa sbyor te /	4	zhes ba sbyor te 
BO_TZ14_PHA-018:45	de bzhin du mngon rtogs chung ba la mos na'ang gtsho bo zhal gsum phyag drug par byed pa las /	4	de bzhin du mngon rtogs chung ba la mos na gtsho bo zhal gsum phyag drug ba byed ba las 
BO_TZ14_PHA-018:46	lhag ma gzhan rnams dkyus bzhin du byas pas 'grub pa nyid de /	4	lhag ma gzhan rnams dkyu bzhin du byed ba grub ba nyid de 
BO_TZ14_PHA-018:47	bdag nyid bcom ldan 'das che mchog he ru ka sku mdog in+d+ra ni la ltar 'bar zhing bzod par dka' ba'i gzi byin can /	4	bdag nyid joms ldan da che mchog he ru ka sku mdog in+d+ra ni la ltar bar zhing bzod ba dka ba gzi byin can 
BO_TZ14_PHA-018:48	dbu gsum g.yas dkar g.yon dmar dbus mthing nag	4	dbu gsum g.yas dkar g.yon dmar dbus mthing nag 
BO_TZ14_PHA-018:49	/zhal re re la dmar la zlum pa'i spyan gsum gsum dang ldan pa /	4	re re la dmar la zlum ba spyan gsum gsum dang ldan ba 
BO_TZ14_PHA-018:50	rnam par 'gyur ba'i zhal gdangs shing mche ba gtshigs pa /	5	rnam ba gyur ba zhal gdang shing mche ba gtshigs ba 
BO_TZ14_PHA-018:51	glog ltar 'khyug pa'i ljags 'dril zhing rdo rje'i gad mos sa gsum g.yo ba /	5	glog ltar khyug ba ljags dril zhing rdo rje gad mos sa gsum g.yo ba 
BO_TZ14_PHA-018:52	khro gnyer bsdus pa'i shangs nas mi bzad pa'i rlung sgra 'byin pa /	5	khro gnyer sdud ba shangs nas mi bzad ba rlung sgra byin ba 
BO_TZ14_PHA-018:53	rdzi smin sma ra las 'bar ba'i me 'khyog por 'bar ba /	5	rdzi smin sma ra las bar ba me khyog por bar ba 
BO_TZ14_PHA-018:54	sku che zhing yan lag rags pa /	5	sku che zhing yan lag rags ba 
BO_TZ14_PHA-018:55	lang tshho rgyas pa'i 'gyur bag can /	5	lang tshho rgya ba gyur bag can 
BO_TZ14_PHA-018:56	phyag drug gi g.yas gsum rdo rje rtshe dgu rtshe lnga rtshe gsum pa dang / g.yon gsum thod pa khrag gis gang ba 'dzin pa /	5	phyag drug gi g.yas gsum rdo rje rtshe dgu rtshe lnga rtshe gsum ba dang g.yon gsum thod ba khrag gis gang ba dzin ba 
BO_TZ14_PHA-018:57	zhabs bzhi g.yas bskum zhing g.yon brkyang ba'i gyad chen po'i stabs kyis lha chen pho mo'i mgo bo dang nu ma nas brdzis pa /	5	zhabs bzhi g.yas skum zhing g.yon rkyong ba gyad chen po stabs kyis lha chen pho mo mgo bo dang nu ma nas brdzis ba 
BO_TZ14_PHA-018:58	zhes sogs las byang gi dkyus bzhin no //	5	zhes sogs las byang gi dkyu bzhin no 
BO_TZ14_PHA-018:59	zhes pa'ang gnas skabs nye bar mkho ba'i yan lag tu 'gyur med rdo rjes brjod pa'o //	5	zhes ba gnas skabs nye ba mkho ba yan lag tu gyur med rdo rjes rjod ba 
BO_TZ14_PHA-018:60	sarba mang+ga lam/// /	6	sarba mang+ga 
