segmentnr	original	folio	stemmed
BO_K12_Dx_H0475:437a-0	@437a / /dkon mchog gsum la phyag 'tshal lo //	437a	mchog gsum la phyag tshal lo 
BO_K12_Dx_H0475:437a-1	lus kyi zag pa sbyin par gtong ba'i gzungs /	437a	lus kyi zag ba sbyin ba gtong ba gzungs 
BO_K12_Dx_H0475:437a-2	mchil ma la /	437a	mchil ma la 
BO_K12_Dx_H0475:437a-3	aom aa sra ma ha re bhya:sv'ah'a /	437a	aom aa sra ma ha re bhya:svaha 
BO_K12_Dx_H0475:437a-4	lud pa la /	437a	lud ba la 
BO_K12_Dx_H0475:437a-5	aom aa khre ra aa ha re bhya:sv'ah'a /	437a	aom aa khre ra aa ha re bhya:svaha 
BO_K12_Dx_H0475:437a-6	snabs la / aom aa si gha na aa ha re bhya: sv'ah'a /	437a	snabs la aom aa si gha na aa ha re bhya: svaha 
BO_K12_Dx_H0475:437a-7	lus kyi dri ma la /	437a	lus kyi dri ma la 
BO_K12_Dx_H0475:437a-8	aom aa ma la aa ha re bhya: sv'ah'a /	437a	aom aa ma la aa ha re bhya: svaha 
BO_K12_Dx_H0475:437a-9	dri chen la /	437a	dri chen la 
BO_K12_Dx_H0475:437a-10	aom aa bhi stha aa ha re bhya:sv'ah'a /	437a	aom aa bhi stha aa ha re bhya:svaha 
BO_K12_Dx_H0475:437a-11	dri chu la /	437a	dri chu la 
BO_K12_Dx_H0475:437a-12	aom aa nu tta aa ha re bhya:sv'ah'a de rnams so so la de dag za ba rnams kyis thob par gyur cig ces brjod par bya'o //	437a	aom aa nu tta aa ha re bhya:svaha de rnams so so la de dag za ba rnams kyis thob ba gyur cig ces rjod ba byed 
BO_K12_Dx_H0475:437a-13	se gol brdab po //	437a	se gol brdab po 
BO_K12_Dx_H0475:437b-0	de rnams de ltar byin pa'i bsod nams ci bsags pa thams cad sems can @437b thams cad kyi don du byang chub tu bsngo bar bya'o //	437b	de rnams de ltar byin ba bsod nams ci bsags ba thams cad sems can thams cad kyi don du byang chub tu sngo ba byed 
BO_K12_Dx_H0475:437b-1	'di dag ni bla ma rdo rje gdan pas mdo rgyud nas phyung ste /	437b	di dag ni bla ma rdo rje gdan ba mdo brgyud nas byin ste 
BO_K12_Dx_H0475:437b-2	ba ri lotstsha bas bsgyur ba'o //	437b	ba ri lotstsha ba sgyur ba 
